test,test_case,function,field,previous_expectation,python_actual,r_54c98418_actual,fixture_case,classification,root_cause,implementation_change,test_fixture_change,resolution_commit
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[None],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_numeric,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[1],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_numeric,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-linear-None-None-None-False-off],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-3-nonlinear-1-1-point_est1-False-off],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[2],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_numeric,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-3-mixed-2-2-None-False-mean],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-5-linear-max-None-None-False-median],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_order_max,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_ivs_test_none_matches_r,NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_class_pred_int,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-nonlinear-1-1-point_est4-True-off],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.8-None-None-None],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.95-None-2-None],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.95-1-1-point_est2],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.8-2-2-point_est3],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,numeric_l2_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-1],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-2],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-1],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-2],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-1],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-2],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-1],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
