test path,test name,affected public function,affected returned field,old expected value,new actual value,downstream of stack,downstream of multivariate regression,executable repaired R output available,classification,action taken
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[None],nns_boost,boost estimates/intervals,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[1],nns_boost,boost estimates/intervals,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-linear-None-None-None-False-off],nns_m_reg,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[2],nns_boost,boost estimates/intervals,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-3-nonlinear-1-1-point_est1-False-off],nns_m_reg,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_ivs_test_none_matches_r,nns_boost,boost estimates/intervals,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-3-mixed-2-2-None-False-mean],nns_m_reg,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-5-linear-max-None-None-False-median],nns_m_reg,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-nonlinear-1-1-point_est4-True-off],nns_m_reg,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.8-None-None-None],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
